ViaPPS produsert fil	: Filversjon 1.21
F.ID.	: Rosita_NO_001
ViaPPS software versjon	: 8.9.12.1

Rapportdato				: 26.03.2026 13:24:47
Filnavn					: PPS_Fy01_1_1_m00000-1_m00901_felt1___20260313-145014.txt
Mappe					: D:\ViaPPS_RBS\RAW_DATA\Fy001_1_hp1_f1_20260313-145014

ViaPPS opptakerversjon	: 8.5.6.0 - 01.06.2016 13:21:02

Sjåfør					: Egon
Bilnummer				: 
UtstyrsID				: VIATECH
Utstyrsmerknader		: 
Opptaksdato				: 13.03.2026 14:50:14
Formål					: 
Måleserienummer					: 1
Målingskommentarer		: 
Målingslengde			: 901
Værkommentarer			: 
Teksturlaserposisjon	: Y

Beregningsintervall [m]	: 1
Rettholt venstre [m]	: Bunnrettholt : -1,8[m]  Snorholt : -1,8[m]  Regresjonsholt : -1,8[m]
Rettholt høyre [m]		: Bunnrettholt :  1,8[m]  Snorholt :  1,8[m]  Regresjonsholt :  1,8[m]
Filter orden [punkter]	: 11
Profil snittlengde [m]	: 0,0
Metodefil versjon/dato	: Ikke tilgjengelig
Beregningskommentaer	: Beregningstype=CEN_13036_8, Midlingsalgoritme=ChebyshevFilter, AntallMidledeProfiler=1, Rettholtlengdetype=Fast lengde, Sporryggdeteksjon=Av
Kalibreringsdata	: Kalib.dato=19. juni 2025 09:11:30, Pulser=1203,835000, Rull=0,000000, Stamp=-0,033432, ScannerRull=-0,006738
Tverrfallskalibreringsdata	: 13. mars 2026 14:35:31
Sensormontasjedata1	: Imu=-1,60[m], ProfileScanner=-3,60[m], TeksturLaser=2,26[m]
Sensormontasjedata2	: GnssDx=-1,92[m], GnssDy=-0,28[m], GnssDz=-2,29[m]
Sensormontasjedata3	: GnssImuDx=-0,03[m], GnssImuDy=0,33[m], GnssImuDz=1,51[m]

Vegnett fylkesversjon			: 
Vegnett serverversjon			: 
Vegnett genereringsappliksajonsversjon	: 

Startposisjon:
Fylke			: 1
Veg				: 1
Strekning		: 1
Vegmeter		: 0
Kjørefelt		: 1
Stedsnavn		: 

Stopposisjon:
Fylke			: 1
Veg				: 1
Strekning		: 1
Vegmeter		: 901,104582542458
Kjørefelt		: 1
Stedsnavn		: 

Vegnettnoder
Nodenr	: Lengde [m]	: Fylke []	: Stedsnavn []	: Vegnavn []	: Hp []	: Fra Vegmeter [m]	: Til Vegmeter [m]	: 
Node0	: 900	: 1	: 	: 1	: 1	: -1	: 902

Justeringsnoder
Justeringnr	: Distanse [m]	: Justering [m]

Utkjørt meter [m]	Fra strekning []	Fra vegmeter [m]	Til strekning []	Til vegmeter [m]	Spordybde [mm]	Sporbredde [cm]	Tverrfall [%]	Kurveradius [m]	IRI [mm/m]	MPD [mm]	Beregningsmetode []	Tid [ms]	Hastighet [km/t]	Høyde [m]	Signalkvalitet [%]	Breddegrad [°]	Lengdegrad [°]	Sone 33V N [m]	Sone 33V Ø [m]	Sporposisjon [cm]	Areal [cm^2]	Pause []	Pos. asfalt kant [cm]	Pos. kantlinje [cm]	Type kantlinje []	Kval. kantlinje [%]	Pos. midtlinje [cm]	Type midtlinje []	Kval. midtlinje [%]	Pos. ekstra midtlinje [cm]	Type ekstra midtlinje []	Kval. ekstra midtlinje [%]	CEN 13036 Høyre sporposisjon [cm]	CEN 13036 Høyre spordybde [mm]	CEN 13036 Venstre sporposisjon [cm]	CEN 13036 Venstre spordybde [mm]	CEN 13036 Max sporposisjon [cm]	CEN 13036 Max spordybde [mm]	CEN 13036 Sporbredde [cm]	CEN 13036 Tverrfall [%]	CEN 13036 Areal [cm^2]	Bunn Høyre sporposisjon [cm]	Bunn Høyre spordybde [mm]	Bunn Venstre sporposisjon [cm]	Bunn Venstre spordybde [mm]	Bunn Max sporposisjon [cm]	Bunn Max spordybde [mm]	Bunn Sporbredde [cm]	Bunn Tverrfall [%]	Bunn Areal [cm^2]	Snor Høyre sporposisjon [cm]	Snor Høyre spordybde [mm]	Snor Venstre sporposisjon [cm]	Snor Venstre spordybde [mm]	Snor Max sporposisjon [cm]	Snor Max spordybde [mm]	Snor Sporbredde [cm]	Snor Tverrfall [%]	Snor Areal [cm^2]	Krum Høyre sporposisjon [cm]	Krum Høyre spordybde [mm]	Krum Venstre sporposisjon [cm]	Krum Venstre spordybde [mm]	Krum Max sporposisjon [cm]	Krum Max spordybde [mm]	Krum Sporbredde [cm]	Krum Tverrfall [%]	Krum Areal [cm^2]	Regresjon Høyre sporposisjon [cm]	Regresjon Høyre spordybde [mm]	Regresjon Venstre sporposisjon [cm]	Regresjon Venstre spordybde [mm]	Regresjon Max sporposisjon [cm]	Regresjon Max spordybde [mm]	Regresjon Sporbredde [cm]	Regresjon Tverrfall [%]	Regresjon Areal [cm^2]	Metode Høyre sporposisjon [cm]	Metode Høyre spordybde [mm]	Metode Venstre sporposisjon [cm]	Metode Venstre spordybde [mm]	Metode Max sporposisjon [cm]	Metode Max spordybde [mm]	Metode Sporbredde [cm]	Metode Tverrfall [%]	Metode Areal [cm^2]	
1,0	1	0,0	1	1,0	20,7	160,7	0,2	2000	NaN	NaN	C	368	58,9	68,4	55	59,3614779	24,7165275	6620656,46	1051093,70	-7,5	315,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	74,5	20,2	-86,7	20,1	-7,5	20,7	160,7	0,2	315,6	72,4	18,3	-86,1	18,3	-9,5	18,3	158,2	0,2	133,1	72,4	22,1	-86,4	22,0	-6,8	22,4	159,0	0,2	374,5	68,5	49,1	-79,6	46,8	-179,6	0,0	147,3	0,2	0,0	72,4	10,9	-86,4	11,3	179,2	22,9	159,0	0,2	225,4	74,5	20,2	-86,7	20,1	-7,5	20,7	160,7	0,2	315,6	
2,0	1	1,0	1	2,0	20,7	162,2	0,2	2000	NaN	NaN	C	430	58,9	68,4	55	59,3614691	24,7165212	6620655,43	1051093,49	-88,0	314,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	75,4	19,8	-88,5	20,5	-88,0	20,7	162,2	0,2	314,2	75,4	18,8	-87,1	18,8	-8,0	18,8	160,0	0,3	136,4	75,4	21,4	-87,1	21,9	-84,6	22,0	160,0	0,3	364,8	68,9	48,1	-81,1	46,6	-179,5	0,0	148,6	0,3	0,0	74,2	10,9	-87,1	11,9	178,7	22,5	160,0	0,2	227,3	75,4	19,8	-88,5	20,5	-88,0	20,7	162,2	0,2	314,2	
3,0	1	2,0	1	3,0	20,3	161,5	0,1	2000	NaN	NaN	C	493	58,9	68,4	55	59,3614603	24,7165149	6620654,40	1051093,27	72,3	303,6	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	74,3	20,1	-87,4	20,3	72,3	20,3	161,5	0,1	303,6	73,4	18,8	-87,4	18,8	-8,1	18,8	161,4	0,2	133,7	73,4	21,2	-87,4	21,8	70,9	21,9	161,4	0,2	357,8	67,6	48,3	-81,1	46,6	-179,5	0,0	148,7	0,2	0,0	73,4	11,1	-87,4	11,5	179,2	22,6	161,4	0,1	223,9	74,3	20,1	-87,4	20,3	72,3	20,3	161,5	0,1	303,6	
4,0	1	3,0	1	4,0	20,5	163,5	0,2	2000	NaN	NaN	C	555	59,0	68,4	55	59,3614514	24,7165086	6620653,37	1051093,06	-85,4	304,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	76,8	19,7	-86,5	20,4	-85,4	20,5	163,5	0,2	304,8	76,8	18,4	-85,9	18,4	-10,4	18,4	163,5	0,2	134,0	76,8	21,1	-85,9	21,8	-84,6	22,1	162,7	0,2	361,0	67,0	47,6	-80,5	47,0	-179,2	0,0	148,7	0,2	0,0	76,8	10,9	-85,9	11,8	178,3	22,6	162,7	0,2	225,9	76,8	19,7	-86,5	20,4	-85,4	20,5	163,5	0,2	304,8	
5,0	1	4,0	1	5,0	20,0	163,0	0,1	2000	NaN	NaN	C	610	59,0	68,4	55	59,3614445	24,7165037	6620652,57	1051092,90	-86,5	300,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	74,9	19,7	-87,2	19,8	-86,5	20,0	163,0	0,1	300,9	73,9	18,3	-86,2	18,3	-8,3	18,3	160,4	0,2	128,5	73,8	21,0	-86,2	21,5	-85,8	21,7	160,3	0,2	355,6	68,5	48,1	-81,3	46,2	-179,3	0,0	149,0	0,2	0,0	73,8	10,9	-86,5	11,5	179,4	22,2	160,3	0,1	217,5	74,9	19,7	-87,2	19,8	-86,5	20,0	163,0	0,1	300,9	
6,0	1	5,0	1	6,0	19,7	163,4	0,1	2000	NaN	NaN	C	673	58,9	68,4	55	59,3614357	24,7164974	6620651,54	1051092,69	-87,8	292,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	75,5	18,8	-88,0	19,3	-87,8	19,7	163,4	0,1	292,2	75,5	17,8	-87,8	17,8	-8,1	17,8	162,9	0,1	130,9	75,0	20,6	-87,8	20,7	-84,7	21,0	161,5	0,1	347,9	68,9	47,8	-79,8	46,2	-179,5	0,0	148,8	0,1	0,0	74,3	10,3	-87,8	11,3	179,4	21,9	161,5	0,1	215,1	75,5	18,8	-88,0	19,3	-87,8	19,7	163,4	0,1	292,2	
7,0	1	6,0	1	7,0	20,4	164,7	-0,1	2000	NaN	NaN	C	735	58,9	68,4	55	59,3614269	24,7164911	6620650,51	1051092,48	-86,0	303,3	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	76,1	19,3	-87,4	20,0	-86,0	20,4	164,7	-0,1	303,3	76,1	18,0	-87,1	18,0	-8,1	18,0	161,5	0,0	132,9	76,1	21,4	-86,0	21,7	-84,7	22,4	161,5	0,0	367,1	68,9	47,9	-80,0	46,5	-179,7	0,0	148,8	0,0	0,0	76,1	10,7	-86,0	11,6	179,2	22,8	161,5	-0,1	221,9	76,1	19,3	-87,4	20,0	-86,0	20,4	164,7	-0,1	303,3	
8,0	1	7,0	1	8,0	20,2	159,5	-0,1	2000	NaN	NaN	C	797	58,9	68,4	56	59,3614180	24,7164848	6620649,48	1051092,27	-85,9	291,3	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	73,5	18,4	-86,0	20,2	-85,9	20,2	159,5	-0,1	291,3	73,5	17,8	-85,2	17,8	-8,0	17,8	158,7	0,0	120,1	72,9	20,2	-85,2	21,5	-84,5	21,5	158,1	0,0	338,1	68,4	47,5	-79,7	46,0	-179,7	0,0	147,4	0,0	0,0	72,9	10,4	-85,2	11,7	179,2	21,9	158,1	-0,1	219,4	73,5	18,4	-86,0	20,2	-85,9	20,2	159,5	-0,1	291,3	
9,0	1	8,0	1	9,0	21,0	159,3	-0,2	2000	NaN	NaN	C	860	58,9	68,4	55	59,3614102	24,7164793	6620648,56	1051092,08	-85,1	304,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	74,1	19,6	-85,8	21,0	-85,1	21,0	159,3	-0,2	304,1	72,9	18,7	-85,1	18,7	-4,5	18,7	157,9	-0,1	124,0	72,9	21,2	-85,8	22,3	-85,1	22,5	157,9	-0,1	355,0	67,0	48,3	-79,1	47,3	-179,7	0,0	145,4	-0,1	0,0	72,9	10,7	-85,8	12,4	179,2	23,1	157,9	-0,2	226,3	74,1	19,6	-85,8	21,0	-85,1	21,0	159,3	-0,2	304,1	
10,0	1	9,0	1	10,0	21,5	162,0	-0,3	2000	NaN	NaN	C	922	59,0	68,4	55	59,3614013	24,7164730	6620647,53	1051091,87	-86,6	307,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	76,8	19,3	-86,6	21,5	-86,6	21,5	162,0	-0,3	307,7	77,4	19,1	-83,9	19,1	-6,8	19,1	161,3	-0,1	138,1	74,8	20,6	-85,1	22,8	-83,9	22,8	160,5	-0,1	357,1	68,9	47,8	-77,7	47,8	-179,6	0,0	148,7	-0,1	0,0	74,8	10,6	-85,1	12,6	179,3	23,5	160,5	-0,3	225,8	76,8	19,3	-86,6	21,5	-86,6	21,5	162,0	-0,3	307,7	
11,0	1	10,0	1	11,0	21,1	162,8	-0,4	2000	NaN	NaN	C	978	59,0	68,4	56	59,3613934	24,7164674	6620646,61	1051091,68	-85,2	310,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	78,0	19,2	-85,2	21,1	-85,2	21,1	162,8	-0,4	310,1	78,0	18,5	-85,2	18,5	-7,5	18,5	162,2	-0,3	132,6	77,1	20,8	-85,2	22,7	-85,2	22,7	161,5	-0,3	360,7	71,5	47,5	-80,4	47,4	-179,5	0,0	151,5	-0,3	0,0	77,0	10,3	-85,2	12,4	179,2	23,4	161,5	-0,4	221,9	78,0	19,2	-85,2	21,1	-85,2	21,1	162,8	-0,4	310,1	
12,0	1	11,0	1	12,0	21,0	163,3	-0,5	2000	NaN	NaN	C	1040	59,0	68,4	55	59,3613846	24,7164611	6620645,59	1051091,47	-84,4	311,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	78,8	19,8	-84,4	21,0	-84,4	21,0	163,3	-0,5	311,8	78,8	18,6	-83,0	18,6	-9,2	18,6	161,3	-0,4	136,4	78,7	21,1	-84,4	23,1	-84,4	23,1	163,1	-0,4	368,9	70,8	47,3	-78,4	47,4	-179,5	0,0	149,2	-0,4	0,0	78,7	10,7	-84,4	12,4	179,6	23,9	163,1	-0,5	222,8	78,8	19,8	-84,4	21,0	-84,4	21,0	163,3	-0,5	311,8	
13,0	1	12,0	1	13,0	21,5	161,0	-0,5	2000	NaN	NaN	C	1096	59,1	68,4	56	59,3613778	24,7164562	6620644,78	1051091,30	-82,7	308,9	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	78,4	19,3	-82,7	21,5	-82,7	21,5	161,0	-0,5	308,9	78,4	19,1	-82,7	19,1	-6,9	19,1	160,7	-0,3	133,5	78,4	20,9	-82,7	23,1	-82,7	23,1	161,0	-0,3	353,5	69,6	46,9	-79,0	47,2	-179,3	0,0	148,2	-0,3	0,0	78,4	10,4	-82,7	12,9	179,2	23,8	161,0	-0,5	225,3	78,4	19,3	-82,7	21,5	-82,7	21,5	161,0	-0,5	308,9	
14,0	1	13,0	1	14,0	21,6	164,2	-0,6	2000	NaN	NaN	C	1165	59,0	68,4	56	59,3613679	24,7164491	6620643,64	1051091,07	-84,8	309,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	79,5	20,1	-84,8	21,6	-84,8	21,6	164,2	-0,6	309,1	78,7	19,5	-84,4	19,5	-8,9	19,5	163,2	-0,5	137,3	78,5	21,3	-84,4	22,9	-84,4	23,1	162,4	-0,5	353,4	71,8	47,6	-77,0	47,4	-179,5	0,0	149,7	-0,5	0,0	78,5	10,9	-84,4	12,7	179,4	23,7	163,2	-0,6	232,0	79,5	20,1	-84,8	21,6	-84,8	21,6	164,2	-0,6	309,1	
15,0	1	14,0	1	15,0	21,2	164,3	-0,6	2000	NaN	NaN	C	1221	59,0	68,4	56	59,3613601	24,7164435	6620642,73	1051090,87	-84,0	307,1	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	79,4	19,7	-84,0	21,2	-84,0	21,2	164,3	-0,6	307,1	79,0	18,9	-82,8	18,9	-5,1	18,9	161,3	-0,4	130,7	76,1	21,6	-83,6	22,6	-83,6	22,9	160,2	-0,4	357,7	72,1	48,0	-77,7	47,5	-179,5	0,0	150,4	-0,4	0,0	76,1	10,9	-83,6	12,6	179,8	23,6	160,2	-0,6	232,0	79,4	19,7	-84,0	21,2	-84,0	21,2	164,3	-0,6	307,1	
16,0	1	15,0	1	16,0	21,7	159,8	-0,7	2000	NaN	NaN	C	1283	59,0	68,4	55	59,3613512	24,7164371	6620641,70	1051090,66	-83,8	318,5	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	75,5	20,1	-83,9	21,6	-83,8	21,7	159,8	-0,7	318,5	75,4	19,4	-83,8	19,4	-6,3	19,4	159,2	-0,5	134,3	75,4	21,8	-83,9	23,3	-83,2	23,3	159,4	-0,5	369,6	71,4	48,3	-79,1	48,2	-179,4	0,0	149,3	-0,5	0,0	75,4	10,6	-83,9	12,8	179,1	24,5	159,4	-0,7	227,9	75,5	20,1	-83,9	21,6	-83,8	21,7	159,8	-0,7	318,5	
17,0	1	16,0	1	17,0	20,6	162,0	-0,6	2000	NaN	NaN	C	1338	59,0	68,4	56	59,3613444	24,7164322	6620640,89	1051090,49	-82,8	320,2	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	77,3	20,0	-84,7	20,4	-82,8	20,6	162,0	-0,6	320,2	76,4	18,8	-84,4	18,8	-6,6	18,8	161,6	-0,5	134,7	76,8	21,8	-84,1	22,2	-82,8	22,2	161,9	-0,5	374,9	69,1	48,7	-77,1	47,4	-179,7	0,0	147,2	-0,5	0,0	76,1	10,5	-84,7	11,9	179,9	24,3	161,6	-0,6	225,1	77,3	20,0	-84,7	20,4	-82,8	20,6	162,0	-0,6	320,2	
18,0	1	17,0	1	18,0	21,6	157,7	-0,6	2000	NaN	NaN	C	1408	59,0	68,4	55	59,3613345	24,7164251	6620639,75	1051090,26	-82,5	327,3	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	76,1	20,1	-82,5	21,6	-82,5	21,6	157,7	-0,6	327,3	76,1	19,2	-81,5	19,2	-5,4	19,2	157,4	-0,5	130,9	76,1	22,2	-81,8	23,2	-81,8	23,2	157,4	-0,5	387,4	70,5	48,8	-76,1	48,1	-179,6	0,0	147,7	-0,5	0,0	76,1	10,4	-82,5	12,8	179,6	25,3	157,7	-0,6	225,6	76,1	20,1	-82,5	21,6	-82,5	21,6	157,7	-0,6	327,3	
19,0	1	18,0	1	19,0	21,4	162,2	-0,6	2000	NaN	NaN	C	1470	59,0	68,4	56	59,3613257	24,7164188	6620638,72	1051090,04	-80,0	322,0	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	80,0	20,7	-81,8	21,4	-80,0	21,4	162,2	-0,6	322,0	79,4	18,7	-80,7	18,7	-4,5	18,7	161,5	-0,5	126,7	79,4	23,1	-80,7	23,7	-79,3	23,9	160,8	-0,5	403,6	73,4	49,7	-74,7	48,6	-179,7	0,0	147,5	-0,5	0,0	78,7	11,0	-80,7	12,7	179,5	26,2	160,8	-0,6	234,4	80,0	20,7	-81,8	21,4	-80,0	21,4	162,2	-0,6	322,0	
