ViaPPS produsert fil	: Filversjon 1.21
F.ID.	: Rosita_NO_001
ViaPPS software versjon	: 8.9.12.1

Rapportdato				: 26.03.2026 13:24:47
Filnavn					: PPS_Fy01_93_1_m99999-1_m99099_felt2___20260313-145715.txt
Mappe					: D:\ViaPPS_RBS\RAW_DATA\Fy001_93_hp1_f2_20260313-145715

ViaPPS opptakerversjon	: 8.5.6.0 - 01.06.2016 13:21:02

Sjåfør					: Egon
Bilnummer				: 
UtstyrsID				: VIATECH
Utstyrsmerknader		: 
Opptaksdato				: 13.03.2026 14:57:15
Formål					: 
Måleserienummer					: 1
Målingskommentarer		: 
Målingslengde			: 899
Værkommentarer			: 
Teksturlaserposisjon	: Y

Beregningsintervall [m]	: 1
Rettholt venstre [m]	: Bunnrettholt : -1,8[m]  Snorholt : -1,8[m]  Regresjonsholt : -1,8[m]
Rettholt høyre [m]		: Bunnrettholt :  1,8[m]  Snorholt :  1,8[m]  Regresjonsholt :  1,8[m]
Filter orden [punkter]	: 11
Profil snittlengde [m]	: 0,0
Metodefil versjon/dato	: Ikke tilgjengelig
Beregningskommentaer	: Beregningstype=CEN_13036_8, Midlingsalgoritme=ChebyshevFilter, AntallMidledeProfiler=1, Rettholtlengdetype=Fast lengde, Sporryggdeteksjon=Av
Kalibreringsdata	: Kalib.dato=19. juni 2025 09:11:30, Pulser=1203,835000, Rull=0,000000, Stamp=-0,033432, ScannerRull=-0,006738
Tverrfallskalibreringsdata	: 13. mars 2026 14:35:31
Sensormontasjedata1	: Imu=-1,60[m], ProfileScanner=-3,60[m], TeksturLaser=2,26[m]
Sensormontasjedata2	: GnssDx=-1,92[m], GnssDy=-0,28[m], GnssDz=-2,29[m]
Sensormontasjedata3	: GnssImuDx=-0,03[m], GnssImuDy=0,33[m], GnssImuDz=1,51[m]

Vegnett fylkesversjon			: 
Vegnett serverversjon			: 
Vegnett genereringsappliksajonsversjon	: 

Startposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99999
Kjørefelt		: 2
Stedsnavn		: 

Stopposisjon:
Fylke			: 1
Veg				: 93
Strekning		: 1
Vegmeter		: 99099,9405956182
Kjørefelt		: 2
Stedsnavn		: 

Vegnettnoder
Nodenr	: Lengde [m]	: Fylke []	: Stedsnavn []	: Vegnavn []	: Hp []	: Fra Vegmeter [m]	: Til Vegmeter [m]	: 
Node0	: 900	: 1	: 	: 93	: 1	: 99099	: 100000

Justeringsnoder
Justeringnr	: Distanse [m]	: Justering [m]

Utkjørt meter [m]	Fra strekning []	Fra vegmeter [m]	Til strekning []	Til vegmeter [m]	Spordybde [mm]	Sporbredde [cm]	Tverrfall [%]	Kurveradius [m]	IRI [mm/m]	MPD [mm]	Beregningsmetode []	Tid [ms]	Hastighet [km/t]	Høyde [m]	Signalkvalitet [%]	Breddegrad [°]	Lengdegrad [°]	Sone 33V N [m]	Sone 33V Ø [m]	Sporposisjon [cm]	Areal [cm^2]	Pause []	Pos. asfalt kant [cm]	Pos. kantlinje [cm]	Type kantlinje []	Kval. kantlinje [%]	Pos. midtlinje [cm]	Type midtlinje []	Kval. midtlinje [%]	Pos. ekstra midtlinje [cm]	Type ekstra midtlinje []	Kval. ekstra midtlinje [%]	CEN 13036 Høyre sporposisjon [cm]	CEN 13036 Høyre spordybde [mm]	CEN 13036 Venstre sporposisjon [cm]	CEN 13036 Venstre spordybde [mm]	CEN 13036 Max sporposisjon [cm]	CEN 13036 Max spordybde [mm]	CEN 13036 Sporbredde [cm]	CEN 13036 Tverrfall [%]	CEN 13036 Areal [cm^2]	Bunn Høyre sporposisjon [cm]	Bunn Høyre spordybde [mm]	Bunn Venstre sporposisjon [cm]	Bunn Venstre spordybde [mm]	Bunn Max sporposisjon [cm]	Bunn Max spordybde [mm]	Bunn Sporbredde [cm]	Bunn Tverrfall [%]	Bunn Areal [cm^2]	Snor Høyre sporposisjon [cm]	Snor Høyre spordybde [mm]	Snor Venstre sporposisjon [cm]	Snor Venstre spordybde [mm]	Snor Max sporposisjon [cm]	Snor Max spordybde [mm]	Snor Sporbredde [cm]	Snor Tverrfall [%]	Snor Areal [cm^2]	Krum Høyre sporposisjon [cm]	Krum Høyre spordybde [mm]	Krum Venstre sporposisjon [cm]	Krum Venstre spordybde [mm]	Krum Max sporposisjon [cm]	Krum Max spordybde [mm]	Krum Sporbredde [cm]	Krum Tverrfall [%]	Krum Areal [cm^2]	Regresjon Høyre sporposisjon [cm]	Regresjon Høyre spordybde [mm]	Regresjon Venstre sporposisjon [cm]	Regresjon Venstre spordybde [mm]	Regresjon Max sporposisjon [cm]	Regresjon Max spordybde [mm]	Regresjon Sporbredde [cm]	Regresjon Tverrfall [%]	Regresjon Areal [cm^2]	Metode Høyre sporposisjon [cm]	Metode Høyre spordybde [mm]	Metode Venstre sporposisjon [cm]	Metode Venstre spordybde [mm]	Metode Max sporposisjon [cm]	Metode Max spordybde [mm]	Metode Sporbredde [cm]	Metode Tverrfall [%]	Metode Areal [cm^2]	
1,0	1	99999,0	1	99998,0	NaN	NaN	NaN	2000	NaN	NaN	B	0	74,9	NaN	NaN	59,3542152	24,7113775	6619810,53	1050921,23	NaN	NaN	False	NaN	158,6	_	65	NaN	_	NaN	NaN	_	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
2,0	1	99998,0	1	99997,0	24,1	155,6	-2,3	2000	NaN	NaN	C	0	74,9	71,8	56	59,3542165	24,7113784	6619810,68	1050921,26	74,9	354,2	False	NaN	158,6	_	66	NaN	_	NaN	NaN	_	NaN	74,9	24,1	-80,7	20,0	74,9	24,1	155,6	-2,3	354,2	74,9	21,2	-85,5	21,2	-8,7	21,2	160,3	-2,5	163,1	74,9	25,0	-80,7	21,0	74,9	25,0	155,6	-2,5	382,9	74,2	50,8	-79,3	46,3	-179,9	0,0	153,5	-2,5	0,0	74,9	12,9	-85,5	11,0	166,2	26,2	160,3	-2,3	242,0	74,9	24,1	-80,7	20,0	74,9	24,1	155,6	-2,3	354,2	
3,0	1	99997,0	1	99996,0	23,9	159,7	-2,1	2000	NaN	NaN	C	0	74,9	71,8	56	59,3542177	24,7113793	6619810,82	1050921,29	74,2	350,4	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	74,2	23,9	-85,5	19,2	74,2	23,9	159,7	-2,1	350,4	73,6	21,3	-87,4	21,3	-12,8	21,3	161,0	-2,3	162,8	74,2	24,0	-85,5	19,3	74,2	24,0	159,7	-2,3	351,8	72,2	49,2	-76,0	43,9	-179,4	0,0	148,3	-2,3	0,0	73,6	12,8	-85,5	10,3	163,2	25,2	159,1	-2,1	237,9	74,2	23,9	-85,5	19,2	74,2	23,9	159,7	-2,1	350,4	
4,0	1	99996,0	1	99995,0	24,1	165,0	-2,0	2000	NaN	NaN	C	0	74,9	71,8	56	59,3542189	24,7113802	6619810,97	1050921,32	78,9	358,4	False	NaN	159,4	_	68	NaN	_	NaN	NaN	_	NaN	78,9	24,1	-86,2	19,5	78,9	24,1	165,0	-2,0	358,4	73,5	20,6	-86,2	20,6	-15,7	20,6	159,7	-2,1	152,5	73,5	25,1	-86,2	20,6	73,5	25,1	159,7	-2,1	392,1	70,9	50,1	-78,8	45,0	-179,5	0,0	149,7	-2,1	0,0	73,5	12,8	-86,2	10,4	164,6	26,3	159,7	-2,0	239,1	78,9	24,1	-86,2	19,5	78,9	24,1	165,0	-2,0	358,4	
5,0	1	99995,0	1	99994,0	23,3	156,3	-1,9	2000	NaN	NaN	C	7	74,9	71,8	57	59,3542202	24,7113811	6619811,11	1050921,35	74,9	341,4	False	NaN	159,4	_	66	NaN	_	NaN	NaN	_	NaN	74,9	23,3	-81,4	19,5	74,9	23,3	156,3	-1,9	341,4	74,2	20,8	-82,1	20,8	-12,8	20,8	156,3	-2,0	148,9	74,9	23,7	-81,4	19,9	74,9	23,7	156,3	-2,0	354,5	66,9	49,2	-79,4	44,8	-179,9	0,0	146,3	-2,0	0,0	74,2	12,5	-81,4	10,7	166,6	24,9	155,6	-1,9	232,0	74,9	23,3	-81,4	19,5	74,9	23,3	156,3	-1,9	341,4	
6,0	1	99994,0	1	99993,0	24,0	159,7	-2,0	2000	NaN	NaN	C	14	74,9	71,8	56	59,3542214	24,7113820	6619811,26	1050921,38	74,9	331,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	74,9	24,0	-84,8	18,8	74,9	24,0	159,7	-2,0	331,7	74,9	20,2	-84,8	20,2	-12,8	20,2	159,7	-2,2	141,9	74,9	25,1	-84,8	19,9	74,9	25,1	159,7	-2,2	366,5	70,3	50,0	-78,8	44,6	-179,5	0,0	149,0	-2,2	0,0	74,9	13,4	-84,8	10,5	164,9	26,3	159,7	-2,0	236,1	74,9	24,0	-84,8	18,8	74,9	24,0	159,7	-2,0	331,7	
7,0	1	99993,0	1	99992,0	23,8	153,5	-2,1	2000	NaN	NaN	C	21	74,9	71,8	56	59,3542227	24,7113829	6619811,40	1050921,41	74,3	337,8	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	74,3	23,8	-79,3	19,3	74,3	23,8	153,5	-2,1	337,8	72,2	20,8	-79,3	20,8	-8,7	20,8	151,5	-2,2	137,1	74,3	24,3	-79,3	19,9	74,3	24,3	153,5	-2,2	354,7	68,2	49,7	-78,7	44,9	-179,4	0,0	146,9	-2,2	0,0	72,2	13,0	-79,3	10,7	165,9	25,5	151,5	-2,1	235,3	74,3	23,8	-79,3	19,3	74,3	23,8	153,5	-2,1	337,8	
8,0	1	99992,0	1	99991,0	24,9	155,6	-2,4	2000	NaN	NaN	C	28	74,9	71,8	56	59,3542239	24,7113838	6619811,55	1050921,43	70,9	361,7	False	NaN	NaN	_	NaN	NaN	_	NaN	NaN	_	NaN	70,9	24,9	-84,7	19,5	70,9	24,9	155,6	-2,4	361,7	70,9	21,0	-84,7	21,0	-16,3	21,0	155,6	-2,6	148,2	70,9	26,0	-83,9	20,6	70,9	26,0	154,8	-2,6	395,5	65,8	52,1	-81,2	45,6	-179,9	0,0	147,0	-2,6	0,0	70,9	13,4	-84,7	10,6	166,0	27,6	155,6	-2,4	247,7	70,9	24,9	-84,7	19,5	70,9	24,9	155,6	-2,4	361,7	
9,0	1	99991,0	1	99990,0	23,3	159,5	-2,1	2000	NaN	NaN	C	35	74,9	71,8	57	59,3542252	24,7113846	6619811,70	1050921,46	76,8	328,4	False	NaN	159,4	_	66	NaN	_	NaN	NaN	_	NaN	76,8	23,3	-82,7	18,6	76,8	23,3	159,5	-2,1	328,4	72,9	20,4	-84,1	20,4	-21,1	20,4	157,0	-2,2	141,0	76,8	23,3	-82,7	18,7	76,8	23,3	159,5	-2,2	330,0	70,2	48,8	-76,1	43,7	-179,7	0,0	146,4	-2,2	0,0	72,9	12,6	-84,1	10,5	166,7	24,8	157,0	-2,1	231,3	76,8	23,3	-82,7	18,6	76,8	23,3	159,5	-2,1	328,4	
10,0	1	99990,0	1	99989,0	22,9	156,9	-2,0	2000	NaN	NaN	C	42	74,9	71,8	56	59,3542265	24,7113855	6619811,84	1050921,49	74,9	333,1	False	NaN	159,4	_	66	NaN	_	NaN	NaN	_	NaN	74,9	22,9	-82,1	18,7	74,9	22,9	156,9	-2,0	333,1	72,8	20,2	-82,1	20,2	-13,9	20,2	154,9	-2,1	141,8	72,8	23,3	-82,1	19,2	72,8	23,3	154,9	-2,1	346,4	67,0	48,6	-76,6	44,0	-179,5	0,0	143,7	-2,1	0,0	72,8	12,3	-82,1	10,2	165,8	24,5	154,9	-2,0	228,8	74,9	22,9	-82,1	18,7	74,9	22,9	156,9	-2,0	333,1	
